idx,matchtype,partid,ppartid
0,0,n1,0
1,0,n2,1
2,0,n3,3
3,0,n4,2
4,0,n5,4
5,0,n6,5
6,0,n7,6
7,0,n8,7
8,0,n9,8
9,0,n10,10
10,0,n11,9
11,0,n12,11
12,0,n13,12
13,0,n14,14
14,0,n15,13
15,0,n16,16
16,0,n17,15
17,0,n18,17
18,0,n19,19
19,0,n20,18
20,0,n21,21
21,0,n22,20
22,0,n23,22
23,0,n24,23
24,0,n25,24
25,0,n26,25
26,0,n27,27
27,0,n28,26
28,0,n29,28
29,0,n30,30
30,0,n31,29
31,0,n32,32
32,0,n33,33
33,0,n34,34
34,0,n35,31
35,0,n36,36
36,0,n37,35
37,0,n38,37
38,0,n39,39
39,0,n40,38
40,0,n41,41
41,0,n42,40
42,0,n43,42
43,0,n44,43
44,0,n45,44
45,0,n46,45
46,0,n47,46
47,0,n48,47
48,0,n49,49
49,0,n50,48
50,0,n51,50
51,0,n52,52
52,0,n53,51
53,0,n54,54
54,0,n55,53
55,0,n56,55
56,0,n57,56
57,0,n58,57
58,0,n59,58
59,0,n60,59
60,0,n61,61
61,0,n62,60
62,0,n63,62
63,0,n64,64
64,0,n65,63
65,0,n66,65
66,0,n67,66
67,0,n68,67
68,0,n69,69
69,0,n70,68
70,0,n71,70
71,0,n72,71
72,0,n73,73
73,0,n74,72
74,0,n75,75
75,0,n76,74
76,0,n77,76
77,0,n78,78
78,0,n79,77
79,0,n80,79
80,0,n81,81
81,0,n82,80
82,0,n83,83
83,0,n84,82
84,0,n85,84
85,0,n86,86
86,0,n87,85
87,0,n88,88
88,0,n89,87
89,0,n90,89
90,0,n91,90
91,0,n92,91
92,0,n93,92
93,0,n94,93
94,0,n95,95
95,0,n96,94
96,0,n97,96
97,0,n98,98
98,0,n99,97
99,0,n100,99
100,0,n101,100
101,0,n102,101
102,0,n103,102
103,0,n104,103
