velocity,timing,articulation,id
6.098014,-0.24410978,15.552888,n1
-29.08717,-15.6607895,-18.81062,n4
-25.383465,-19.410631,20.519001,n3
20.912828,34.339092,-7.967405,n2
-27.23532,-3.9941902,-11.730704,n6
-19.827911,3.5059707,17.270388,n5
-21.679762,-17.118876,31.337355,n8
26.46839,16.630657,18.04118,n7
-12.420504,-15.243955,25.440744,n11
-10.568652,-18.994274,15.589058,n10
37.579502,33.505898,5.570399,n9
-16.124205,-2.4317162,-17.37266,n15
-10.568652,-17.43156,7.656018,n14
-5.013092,2.568391,-22.583977,n13
22.764687,16.318447,-18.046782,n12
-25.383465,6.0060244,-18.097591,n17
-32.79087,-6.494244,3.5798316,n16
-5.013092,-0.24410978,4.791339,n18
-16.124205,3.5057323,17.440344,n20
-12.420504,-3.9939518,14.373769,n19
-17.976057,32.25587,21.391691,n22
-17.976057,-32.74409,15.27242,n21
-19.827911,-11.910708,-14.491703,n25
26.46839,16.839191,-11.954853,n23
-23.531612,-7.744271,10.337545,n28
-12.420504,-13.160815,14.428588,n31
7.949872,-15.66087,17.059673,n30
37.579502,28.089355,11.7975025,n29
-6.864943,67.255905,-14.90139,n35
-3.1612413,-27.744223,-12.829661,n33
37.579502,-10.244325,-17.876532,n32
-14.272354,6.6309185,-14.374557,n37
-17.976057,-7.1191382,8.224113,n36
-49.45754,-0.24410978,9.287073,n38
-21.679762,4.130865,11.470382,n40
-12.420504,-4.6190844,-4.019399,n39
-6.864943,14.756212,-5.371456,n42
-16.124205,-15.2444315,-7.9390435,n41
-8.716802,-7.327357,-15.289416,n45
9.8017235,0.1723274,-12.35171,n44
22.764687,6.4227,-15.7959175,n43
-5.013092,-23.993904,12.328325,n47
46.838757,23.505684,13.233881,n46
-10.568652,6.4223824,32.337418,n50
15.357276,-18.5772,-40.827446,n49
46.838757,11.422489,18.85495,n48
-10.568652,-5.660972,-8.419372,n53
22.764687,-8.160549,8.785195,n52
50.54246,13.089191,-30.747467,n51
-6.864943,0.380546,-20.152742,n55
17.209127,-0.86876553,-20.266747,n54
19.060978,-0.24410978,-30.55358,n56
-1.3093902,-14.410604,14.6259985,n59
7.949872,-9.410497,8.876976,n58
43.135056,23.088772,-29.875696,n57
-5.013092,-2.3272493,18.780722,n62
7.949872,-11.077198,12.777405,n61
44.986908,12.672119,3.6755993,n60
-10.568652,1.4229106,-31.484676,n65
9.8017235,-22.32736,-34.29113,n64
32.02394,20.172121,17.77342,n63
-5.013092,-8.369403,34.812775,n67
30.172092,7.8811836,55.989418,n66
-16.124205,-6.4941645,25.210442,n70
-5.013092,-13.993849,15.56682,n69
35.727646,19.755684,0.3236763,n68
-21.679762,-15.244193,-11.631508,n74
-6.864943,-23.994143,10.375974,n73
0.5424609,-11.494351,9.463747,n72
11.653574,49.75625,-11.213405,n71
-27.23532,-15.660551,-11.035411,n77
-30.93902,9.339032,22.787766,n76
2.394312,5.5891895,5.643239,n75
-27.23532,1.6308112,23.288578,n79
7.949872,-2.1190307,14.6018505,n78
-25.383465,4.7556796,20.573088,n82
-38.346428,-12.744219,10.145728,n81
7.949872,7.25621,19.893044,n80
-1.3093902,-7.744112,4.716512,n85
-25.383465,6.0059447,-2.501783,n84
19.060978,1.0058376,17.30901,n83
-1.3093902,-7.1191382,-14.692547,n89
-8.716802,-24.619038,-41.36046,n88
6.098014,16.631134,-31.000263,n87
39.431355,14.130603,-26.587585,n86
-6.864943,-18.577518,-21.255371,n92
24.616539,-6.0767736,13.288491,n91
50.54246,23.921963,18.36273,n90
-6.864943,2.2559438,19.200472,n96
0.5424609,-25.24417,-43.088223,n95
41.283203,18.50653,-22.379679,n93
-5.013092,-0.66118276,-13.851429,n99
0.5424609,-19.410393,10.841455,n98
43.135056,19.339245,-16.21266,n97
-19.827911,-1.494375,-14.953686,n101
-8.716802,1.0061555,9.68237,n100
-21.679762,-0.24410978,-10.494847,n102
-32.79087,-12.743901,4.1352916,n104
-30.93902,12.255682,-44.010582,n103
