idx,matchtype,partid,ppartid
0,0,n1-1,0
1,0,n6-1,1
2,0,n7-1,2
3,0,n8-1,3
4,0,n9-1,4
5,0,n4-1,5
6,0,n5-1,6
7,0,n11-1,7
8,0,n12-1,8
9,0,n10-1,9
10,0,n16-1,10
11,0,n18-1,11
12,0,n17-1,12
13,0,n19-1,13
14,0,n14-1,14
15,0,n15-1,15
16,0,n20-1,16
17,0,n22-1,17
18,0,n21-1,18
19,0,n26-1,19
20,0,n27-1,20
21,0,n28-1,21
22,0,n29-1,22
23,0,n24-1,23
24,0,n25-1,24
25,0,n30-1,25
26,0,n32-1,26
27,0,n31-1,27
28,0,n38-1,28
29,0,n33-1,29
30,0,n34-1,30
31,0,n35-1,31
32,0,n36-1,32
33,0,n39-1,33
34,0,n40-1,34
35,0,n41-1,35
36,0,n37-1,36
37,0,n42-1,37
38,0,n43-1,38
39,0,n44-1,39
40,0,n48-1,40
41,0,n49-1,41
42,0,n51-1,42
43,0,n50-1,43
44,0,n46-1,44
45,0,n47-1,45
46,0,n52-1,46
47,0,n54-1,47
48,0,n53-1,48
49,0,n58-1,49
50,0,n55-1,50
51,0,n60-1,51
52,0,n59-1,52
53,0,n61-1,53
54,0,n56-1,54
55,0,n57-1,55
56,0,n63-1,56
57,0,n62-1,57
58,0,n64-1,58
59,0,n68-1,59
60,0,n65-1,60
61,0,n69-1,61
62,0,n71-1,62
63,0,n70-1,63
64,0,n66-1,64
65,0,n73-1,65
66,0,n74-1,66
67,0,n72-1,67
68,0,n67-1,68
69,0,n76-1,69
70,0,n77-1,70
71,0,n75-1,71
72,0,n1-2,72
73,0,n6-2,73
74,0,n7-2,74
75,0,n8-2,75
76,0,n9-2,76
77,0,n4-2,77
78,0,n10-2,78
79,0,n5-2,79
80,0,n11-2,80
81,0,n12-2,81
82,0,n16-2,82
83,0,n17-2,83
84,0,n18-2,84
85,0,n19-2,85
86,0,n14-2,86
87,0,n15-2,87
88,0,n21-2,88
89,0,n20-2,89
90,0,n22-2,90
91,0,n26-2,91
92,0,n27-2,92
93,0,n28-2,93
94,0,n29-2,94
95,0,n24-2,95
96,0,n25-2,96
97,0,n30-2,97
98,0,n31-2,98
99,0,n32-2,99
100,0,n38-2,100
101,0,n33-2,101
102,0,n34-2,102
103,0,n35-2,103
104,0,n36-2,104
105,0,n39-2,105
106,0,n40-2,106
107,0,n41-2,107
108,0,n37-2,108
109,0,n43-2,109
110,0,n42-2,110
111,0,n44-2,111
112,0,n48-2,112
113,0,n49-2,113
114,0,n51-2,114
115,0,n50-2,115
116,0,n46-2,116
117,0,n47-2,117
118,0,n53-2,118
119,0,n52-2,119
120,0,n54-2,120
121,0,n58-2,121
122,0,n55-2,122
123,0,n59-2,123
124,0,n60-2,124
125,0,n61-2,125
126,0,n56-2,126
127,0,n57-2,127
128,0,n64-2,128
129,0,n62-2,129
130,0,n63-2,130
131,0,n68-2,131
132,0,n65-2,132
133,0,n71-2,133
134,0,n69-2,134
135,0,n70-2,135
136,0,n66-2,136
137,0,n73-2,137
138,0,n67-2,138
139,0,n72-2,139
140,0,n74-2,140
141,0,n75-2,141
142,0,n76-2,142
143,0,n77-2,143
144,0,n78-1,144
145,0,n79-1,145
146,0,n86-1,146
147,0,n82-1,147
148,0,n81-1,148
149,0,n88-1,149
