onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id
-1.0,2.5,-1.0,2.5,0,20,72,1,n1-1
0.0,1.0,0.0,1.0,8,8,48,1,n6-1
1.0,1.0,1.0,1.0,16,8,64,1,n7-1
1.0,1.0,1.0,1.0,16,8,58,1,n8-1
1.0,1.0,1.0,1.0,16,8,55,1,n9-1
1.5,0.5,1.5,0.5,20,4,73,1,n4-1
2.0,2.5,2.0,2.5,24,20,72,1,n5-1
2.0,1.0,2.0,1.0,24,8,58,1,n11-1
2.0,1.0,2.0,1.0,24,8,55,1,n12-1
2.0,1.0,2.0,1.0,24,8,64,1,n10-1
3.0,1.0,3.0,1.0,32,8,48,1,n16-1
4.0,1.0,4.0,1.0,40,8,60,1,n18-1
4.0,1.0,4.0,1.0,40,8,65,1,n17-1
4.0,1.0,4.0,1.0,40,8,56,1,n19-1
4.5,0.5,4.5,0.5,44,4,73,1,n14-1
5.0,2.5,5.0,2.5,48,20,72,1,n15-1
5.0,1.0,5.0,1.0,48,8,65,1,n20-1
5.0,1.0,5.0,1.0,48,8,56,1,n22-1
5.0,1.0,5.0,1.0,48,8,60,1,n21-1
6.0,1.0,6.0,1.0,56,8,48,1,n26-1
7.0,1.0,7.0,1.0,64,8,64,1,n27-1
7.0,1.0,7.0,1.0,64,8,58,1,n28-1
7.0,1.0,7.0,1.0,64,8,55,1,n29-1
7.5,0.5,7.5,0.5,68,4,73,1,n24-1
8.0,1.0,8.0,1.0,72,8,72,1,n25-1
8.0,1.0,8.0,1.0,72,8,64,1,n30-1
8.0,1.0,8.0,1.0,72,8,55,1,n32-1
8.0,1.0,8.0,1.0,72,8,58,1,n31-1
9.0,1.0,9.0,1.0,80,8,48,1,n38-1
9.0,2.0,9.0,2.0,80,16,73,1,n36-1
9.0,0.0,9.0,0.0,80,0,72,1,n33-1
9.0,0.0,9.0,0.0,80,0,73,1,n34-1
9.0,0.0,9.0,0.0,80,0,75,1,n35-1
10.0,1.0,10.0,1.0,88,8,65,1,n39-1
10.0,1.0,10.0,1.0,88,8,60,1,n40-1
10.0,1.0,10.0,1.0,88,8,56,1,n41-1
11.0,2.5,11.0,2.5,96,20,72,1,n37-1
11.0,1.0,11.0,1.0,96,8,65,1,n42-1
11.0,1.0,11.0,1.0,96,8,60,1,n43-1
11.0,1.0,11.0,1.0,96,8,56,1,n44-1
12.0,1.0,12.0,1.0,104,8,48,1,n48-1
13.0,1.0,13.0,1.0,112,8,64,1,n49-1
13.0,1.0,13.0,1.0,112,8,55,1,n51-1
13.0,1.0,13.0,1.0,112,8,58,1,n50-1
13.5,0.5,13.5,0.5,116,4,73,1,n46-1
14.0,1.0,14.0,1.0,120,8,72,1,n47-1
14.0,1.0,14.0,1.0,120,8,64,1,n52-1
14.0,1.0,14.0,1.0,120,8,55,1,n54-1
14.0,1.0,14.0,1.0,120,8,58,1,n53-1
15.0,1.0,15.0,1.0,128,8,48,1,n58-1
15.0,1.5,15.0,1.5,128,12,72,1,n55-1
16.0,1.0,16.0,1.0,136,8,60,1,n60-1
16.0,1.0,16.0,1.0,136,8,63,1,n59-1
16.0,1.0,16.0,1.0,136,8,56,1,n61-1
16.5,0.5,16.5,0.5,140,4,73,1,n56-1
17.0,1.0,17.0,1.0,144,8,72,1,n57-1
17.0,1.0,17.0,1.0,144,8,60,1,n63-1
17.0,1.0,17.0,1.0,144,8,63,1,n62-1
17.0,1.0,17.0,1.0,144,8,56,1,n64-1
18.0,1.0,18.0,1.0,152,8,39,1,n68-1
18.0,1.5,18.0,1.5,152,12,72,1,n65-1
19.0,1.0,19.0,1.0,160,8,61,1,n69-1
19.0,1.0,19.0,1.0,160,8,51,1,n71-1
19.0,1.0,19.0,1.0,160,8,55,1,n70-1
19.5,0.5,19.5,0.5,164,4,70,1,n66-1
20.0,1.0,20.0,1.0,168,8,55,1,n73-1
20.0,1.0,20.0,1.0,168,8,51,1,n74-1
20.0,1.0,20.0,1.0,168,8,61,1,n72-1
20.0,1.0,20.0,1.0,168,8,70,1,n67-1
21.0,2.0,21.0,2.0,176,16,60,1,n76-1
21.0,2.0,21.0,2.0,176,16,56,1,n77-1
21.0,2.0,21.0,2.0,176,16,68,1,n75-1
23.0,2.5,23.0,2.5,192,20,72,1,n1-2
24.0,1.0,24.0,1.0,200,8,48,1,n6-2
25.0,1.0,25.0,1.0,208,8,64,1,n7-2
25.0,1.0,25.0,1.0,208,8,58,1,n8-2
25.0,1.0,25.0,1.0,208,8,55,1,n9-2
25.5,0.5,25.5,0.5,212,4,73,1,n4-2
26.0,1.0,26.0,1.0,216,8,64,1,n10-2
26.0,2.5,26.0,2.5,216,20,72,1,n5-2
26.0,1.0,26.0,1.0,216,8,58,1,n11-2
26.0,1.0,26.0,1.0,216,8,55,1,n12-2
27.0,1.0,27.0,1.0,224,8,48,1,n16-2
28.0,1.0,28.0,1.0,232,8,65,1,n17-2
28.0,1.0,28.0,1.0,232,8,60,1,n18-2
28.0,1.0,28.0,1.0,232,8,56,1,n19-2
28.5,0.5,28.5,0.5,236,4,73,1,n14-2
29.0,2.5,29.0,2.5,240,20,72,1,n15-2
29.0,1.0,29.0,1.0,240,8,60,1,n21-2
29.0,1.0,29.0,1.0,240,8,65,1,n20-2
29.0,1.0,29.0,1.0,240,8,56,1,n22-2
30.0,1.0,30.0,1.0,248,8,48,1,n26-2
31.0,1.0,31.0,1.0,256,8,64,1,n27-2
31.0,1.0,31.0,1.0,256,8,58,1,n28-2
31.0,1.0,31.0,1.0,256,8,55,1,n29-2
31.5,0.5,31.5,0.5,260,4,73,1,n24-2
32.0,1.0,32.0,1.0,264,8,72,1,n25-2
32.0,1.0,32.0,1.0,264,8,64,1,n30-2
32.0,1.0,32.0,1.0,264,8,58,1,n31-2
32.0,1.0,32.0,1.0,264,8,55,1,n32-2
33.0,1.0,33.0,1.0,272,8,48,1,n38-2
33.0,2.0,33.0,2.0,272,16,73,1,n36-2
33.0,0.0,33.0,0.0,272,0,72,1,n33-2
33.0,0.0,33.0,0.0,272,0,73,1,n34-2
33.0,0.0,33.0,0.0,272,0,75,1,n35-2
34.0,1.0,34.0,1.0,280,8,65,1,n39-2
34.0,1.0,34.0,1.0,280,8,60,1,n40-2
34.0,1.0,34.0,1.0,280,8,56,1,n41-2
35.0,2.5,35.0,2.5,288,20,72,1,n37-2
35.0,1.0,35.0,1.0,288,8,60,1,n43-2
35.0,1.0,35.0,1.0,288,8,65,1,n42-2
35.0,1.0,35.0,1.0,288,8,56,1,n44-2
36.0,1.0,36.0,1.0,296,8,48,1,n48-2
37.0,1.0,37.0,1.0,304,8,64,1,n49-2
37.0,1.0,37.0,1.0,304,8,55,1,n51-2
37.0,1.0,37.0,1.0,304,8,58,1,n50-2
37.5,0.5,37.5,0.5,308,4,73,1,n46-2
38.0,1.0,38.0,1.0,312,8,72,1,n47-2
38.0,1.0,38.0,1.0,312,8,58,1,n53-2
38.0,1.0,38.0,1.0,312,8,64,1,n52-2
38.0,1.0,38.0,1.0,312,8,55,1,n54-2
39.0,1.0,39.0,1.0,320,8,48,1,n58-2
39.0,1.5,39.0,1.5,320,12,72,1,n55-2
40.0,1.0,40.0,1.0,328,8,63,1,n59-2
40.0,1.0,40.0,1.0,328,8,60,1,n60-2
40.0,1.0,40.0,1.0,328,8,56,1,n61-2
40.5,0.5,40.5,0.5,332,4,73,1,n56-2
41.0,1.0,41.0,1.0,336,8,72,1,n57-2
41.0,1.0,41.0,1.0,336,8,56,1,n64-2
41.0,1.0,41.0,1.0,336,8,63,1,n62-2
41.0,1.0,41.0,1.0,336,8,60,1,n63-2
42.0,1.0,42.0,1.0,344,8,39,1,n68-2
42.0,1.5,42.0,1.5,344,12,72,1,n65-2
43.0,1.0,43.0,1.0,352,8,51,1,n71-2
43.0,1.0,43.0,1.0,352,8,61,1,n69-2
43.0,1.0,43.0,1.0,352,8,55,1,n70-2
43.5,0.5,43.5,0.5,356,4,70,1,n66-2
44.0,1.0,44.0,1.0,360,8,55,1,n73-2
44.0,1.0,44.0,1.0,360,8,70,1,n67-2
44.0,1.0,44.0,1.0,360,8,61,1,n72-2
44.0,1.0,44.0,1.0,360,8,51,1,n74-2
45.0,2.0,45.0,2.0,368,16,68,1,n75-2
45.0,2.0,45.0,2.0,368,16,60,1,n76-2
45.0,2.0,45.0,2.0,368,16,56,1,n77-2
47.0,1.0,47.0,1.0,384,8,72,1,n78-1
47.0,1.0,47.0,1.0,384,8,68,1,n79-1
48.0,1.0,48.0,1.0,392,8,36,1,n86-1
48.0,2.0,48.0,2.0,392,16,72,1,n82-1
48.0,1.5,48.0,1.5,392,12,68,1,n81-1
49.0,1.0,49.0,1.0,400,8,52,1,n88-1
49.0,1.0,49.0,1.0,400,8,58,1,n87-1
49.0,1.0,49.0,1.0,400,8,48,1,n89-1
49.5,0.5,49.5,0.5,404,4,67,1,n83-1
